================================================================================
Matrix-Vector Multiplication Results (Floating Point)
================================================================================

Input Vector (8 elements):
  [0.5   0.125 0.25  1.    0.625 0.5   0.125 0.25 ]

Weight Matrix Shape: (376, 8)

Output Results (376 elements):
================================================================================

Row    Result (Float)       Q8.8 Fixed      Hex (Q8.8)     
283    0.0039070000         1               0x0001         
284    -0.0030703750        -1              0xFFFF         
285    -0.0806670000        -21             0xFFEB         
286    -0.0764586250        -20             0xFFEC         
287    -0.0677856250        -17             0xFFEF         
288    0.0161781250         4               0x0004         
289    -0.0167431250        -4              0xFFFC         
290    -0.0754698750        -19             0xFFED         
291    -0.1810581250        -46             0xFFD2         
292    -0.1740852500        -45             0xFFD3         
293    0.0363037500         9               0x0009         
294    -0.0809215000        -21             0xFFEB         
295    -0.0822121250        -21             0xFFEB         
296    0.1202623750         31              0x001F         
297    0.0490918750         13              0x000D         
298    -0.0470472500        -12             0xFFF4         
299    0.0138660000         4               0x0004         
300    0.0517332500         13              0x000D         
301    0.1253850000         32              0x0020         
302    0.1468910000         38              0x0026         
303    -0.1188435000        -30             0xFFE2         
304    -0.1507366250        -39             0xFFD9         
305    0.0239318750         6               0x0006         
306    -0.0294108750        -8              0xFFF8         
307    0.0802497500         21              0x0015         
308    -0.0785063750        -20             0xFFEC         
309    0.0067491250         2               0x0002         
310    -0.0431572500        -11             0xFFF5         
311    0.0683266250         17              0x0011         
312    0.1181691250         30              0x001E         
313    0.1210116250         31              0x001F         
314    0.0122056250         3               0x0003         
315    0.0234123750         6               0x0006         
316    -0.0261480000        -7              0xFFF9         
317    -0.0324217500        -8              0xFFF8         
318    0.2204795000         56              0x0038         
319    0.1941770000         50              0x0032         
320    0.1844761250         47              0x002F         
321    -0.0638421250        -16             0xFFF0         
322    -0.0393197500        -10             0xFFF6         
323    0.0628856250         16              0x0010         
324    -0.1130371250        -29             0xFFE3         
325    -0.1577358750        -40             0xFFD8         
326    0.1910116250         49              0x0031         
327    -0.0232140000        -6              0xFFFA         
328    0.0241571250         6               0x0006         
329    -0.0903963750        -23             0xFFE9         
330    0.0702778750         18              0x0012         
331    0.0476037500         12              0x000C         
332    0.0738447500         19              0x0013         
333    0.1226102500         31              0x001F         
334    0.1157378750         30              0x001E         
335    0.1275778750         33              0x0021         
336    0.0442478750         11              0x000B         
337    0.1642133750         42              0x002A         
338    0.0986846250         25              0x0019         
339    0.0406113750         10              0x000A         
340    -0.0175432500        -4              0xFFFC         
341    -0.0297360000        -8              0xFFF8         
342    -0.0272757500        -7              0xFFF9         
343    -0.0787957500        -20             0xFFEC         
344    -0.0022967500        -1              0xFFFF         
345    0.0525205000         13              0x000D         
346    0.0892873750         23              0x0017         
347    -0.0629118750        -16             0xFFF0         
348    0.0011707500         0               0x0000         
349    -0.0609356250        -16             0xFFF0         
350    -0.0794161250        -20             0xFFEC         
351    -0.0110278750        -3              0xFFFD         
352    -0.0521012500        -13             0xFFF3         
353    0.0393318750         10              0x000A         
354    0.1266238750         32              0x0020         
355    0.0068447500         2               0x0002         
356    0.1790741250         46              0x002E         
357    -0.1336916250        -34             0xFFDE         
358    -0.1035116250        -26             0xFFE6         
359    0.0236402500         6               0x0006         
360    0.0526790000         13              0x000D         
361    0.1376722500         35              0x0023         
362    0.0489587500         13              0x000D         
363    0.0632795000         16              0x0010         
364    0.0609557500         16              0x0010         
365    -0.0708317500        -18             0xFFEE         
366    0.0820146250         21              0x0015         
367    0.0515497500         13              0x000D         
368    -0.0646296250        -17             0xFFEF         
369    -0.0057131250        -1              0xFFFF         
370    0.0361045000         9               0x0009         
371    0.0928620000         24              0x0018         
372    0.0734768750         19              0x0013         
373    -0.0086605000        -2              0xFFFE         
374    -0.1474290000        -38             0xFFDA         
375    0.0419767500         11              0x000B         

================================================================================
Summary Statistics:
================================================================================
Minimum Result: -0.2061267500
Maximum Result: 0.2215108750
Mean Result:    0.0062618434
Std Deviation:  0.0870545798
