Index	X	Sigmoid	Recon	Hex
4752	4.641380	0.990448	0.990448	0x00FD8E0
4753	4.642357	0.990457	0.990457	0x00FD8E9
4754	4.643334	0.990466	0.990466	0x00FD8F3
4755	4.644311	0.990475	0.990476	0x00FD8FD
4756	4.645287	0.990485	0.990484	0x00FD906
4757	4.646264	0.990494	0.990494	0x00FD910
4758	4.647241	0.990503	0.990503	0x00FD91A
4759	4.648217	0.990512	0.990512	0x00FD923
4760	4.649194	0.990521	0.990521	0x00FD92D
4761	4.650171	0.990531	0.990531	0x00FD937
4762	4.651148	0.990540	0.990540	0x00FD940
4763	4.652124	0.990549	0.990549	0x00FD94A
4764	4.653101	0.990558	0.990558	0x00FD953
4765	4.654078	0.990567	0.990567	0x00FD95D
4766	4.655055	0.990576	0.990576	0x00FD966
4767	4.656031	0.990585	0.990585	0x00FD970
4768	4.657008	0.990594	0.990595	0x00FD97A
4769	4.657985	0.990604	0.990603	0x00FD983
4770	4.658961	0.990613	0.990613	0x00FD98D
4771	4.659938	0.990622	0.990622	0x00FD996
4772	4.660915	0.990631	0.990631	0x00FD9A0
4773	4.661892	0.990640	0.990640	0x00FD9A9
4774	4.662868	0.990649	0.990649	0x00FD9B3
4775	4.663845	0.990658	0.990658	0x00FD9BC
4776	4.664822	0.990667	0.990667	0x00FD9C6
4777	4.665798	0.990676	0.990676	0x00FD9CF
4778	4.666775	0.990685	0.990685	0x00FD9D9
4779	4.667752	0.990694	0.990694	0x00FD9E2
4780	4.668729	0.990703	0.990703	0x00FD9EB
4781	4.669705	0.990712	0.990712	0x00FD9F5
4782	4.670682	0.990721	0.990721	0x00FD9FE
4783	4.671659	0.990730	0.990730	0x00FDA08
4784	4.672636	0.990739	0.990739	0x00FDA11
4785	4.673612	0.990748	0.990747	0x00FDA1A
4786	4.674589	0.990757	0.990757	0x00FDA24
4787	4.675566	0.990766	0.990766	0x00FDA2D
4788	4.676542	0.990775	0.990775	0x00FDA37
4789	4.677519	0.990784	0.990784	0x00FDA40
4790	4.678496	0.990793	0.990792	0x00FDA49
4791	4.679473	0.990801	0.990802	0x00FDA53
4792	4.680449	0.990810	0.990810	0x00FDA5C
4793	4.681426	0.990819	0.990819	0x00FDA65
4794	4.682403	0.990828	0.990829	0x00FDA6F
4795	4.683379	0.990837	0.990837	0x00FDA78
4796	4.684356	0.990846	0.990846	0x00FDA81
4797	4.685333	0.990855	0.990855	0x00FDA8B
4798	4.686310	0.990864	0.990864	0x00FDA94
4799	4.687286	0.990872	0.990872	0x00FDA9D
4800	4.688263	0.990881	0.990881	0x00FDAA6
4801	4.689240	0.990890	0.990891	0x00FDAB0
4802	4.690217	0.990899	0.990899	0x00FDAB9
4803	4.691193	0.990908	0.990908	0x00FDAC2
4804	4.692170	0.990916	0.990916	0x00FDACB
4805	4.693147	0.990925	0.990925	0x00FDAD4
4806	4.694123	0.990934	0.990934	0x00FDADE
4807	4.695100	0.990943	0.990943	0x00FDAE7
4808	4.696077	0.990952	0.990952	0x00FDAF0
4809	4.697054	0.990960	0.990960	0x00FDAF9
4810	4.698030	0.990969	0.990969	0x00FDB02
4811	4.699007	0.990978	0.990978	0x00FDB0C
4812	4.699984	0.990987	0.990987	0x00FDB15
4813	4.700960	0.990995	0.990995	0x00FDB1E
4814	4.701937	0.991004	0.991004	0x00FDB27
4815	4.702914	0.991013	0.991013	0x00FDB30
4816	4.703891	0.991021	0.991021	0x00FDB39
4817	4.704867	0.991030	0.991030	0x00FDB42
4818	4.705844	0.991039	0.991038	0x00FDB4B
4819	4.706821	0.991047	0.991048	0x00FDB55
4820	4.707797	0.991056	0.991056	0x00FDB5E
4821	4.708774	0.991065	0.991065	0x00FDB67
4822	4.709751	0.991073	0.991074	0x00FDB70
4823	4.710728	0.991082	0.991082	0x00FDB79
4824	4.711704	0.991091	0.991091	0x00FDB82
4825	4.712681	0.991099	0.991099	0x00FDB8B
4826	4.713658	0.991108	0.991108	0x00FDB94
4827	4.714635	0.991116	0.991117	0x00FDB9D
4828	4.715611	0.991125	0.991125	0x00FDBA6
4829	4.716588	0.991134	0.991134	0x00FDBAF
4830	4.717565	0.991142	0.991142	0x00FDBB8
4831	4.718541	0.991151	0.991151	0x00FDBC1
4832	4.719518	0.991159	0.991159	0x00FDBCA
4833	4.720495	0.991168	0.991168	0x00FDBD3
4834	4.721472	0.991176	0.991177	0x00FDBDC
4835	4.722448	0.991185	0.991185	0x00FDBE5
4836	4.723425	0.991194	0.991194	0x00FDBEE
4837	4.724402	0.991202	0.991202	0x00FDBF7
4838	4.725378	0.991211	0.991211	0x00FDC00
4839	4.726355	0.991219	0.991220	0x00FDC09
4840	4.727332	0.991228	0.991227	0x00FDC11
4841	4.728309	0.991236	0.991236	0x00FDC1A
4842	4.729285	0.991245	0.991244	0x00FDC23
4843	4.730262	0.991253	0.991253	0x00FDC2C
4844	4.731239	0.991261	0.991261	0x00FDC35
4845	4.732216	0.991270	0.991270	0x00FDC3E
4846	4.733192	0.991278	0.991279	0x00FDC47
4847	4.734169	0.991287	0.991287	0x00FDC50
4848	4.735146	0.991295	0.991295	0x00FDC58
4849	4.736122	0.991304	0.991303	0x00FDC61
4850	4.737099	0.991312	0.991312	0x00FDC6A
4851	4.738076	0.991321	0.991321	0x00FDC73
4852	4.739053	0.991329	0.991329	0x00FDC7C
4853	4.740029	0.991337	0.991338	0x00FDC85
4854	4.741006	0.991346	0.991345	0x00FDC8D
4855	4.741983	0.991354	0.991354	0x00FDC96
4856	4.742959	0.991362	0.991363	0x00FDC9F
4857	4.743936	0.991371	0.991371	0x00FDCA8
4858	4.744913	0.991379	0.991379	0x00FDCB0
4859	4.745890	0.991387	0.991387	0x00FDCB9
4860	4.746866	0.991396	0.991396	0x00FDCC2
4861	4.747843	0.991404	0.991405	0x00FDCCB
4862	4.748820	0.991412	0.991412	0x00FDCD3
4863	4.749797	0.991421	0.991421	0x00FDCDC
4864	4.750773	0.991429	0.991429	0x00FDCE5
4865	4.751750	0.991437	0.991437	0x00FDCED
4866	4.752727	0.991446	0.991446	0x00FDCF6
4867	4.753703	0.991454	0.991454	0x00FDCFF
4868	4.754680	0.991462	0.991462	0x00FDD07
4869	4.755657	0.991470	0.991470	0x00FDD10
4870	4.756634	0.991479	0.991479	0x00FDD19
4871	4.757610	0.991487	0.991487	0x00FDD21
4872	4.758587	0.991495	0.991495	0x00FDD2A
4873	4.759564	0.991503	0.991504	0x00FDD33
4874	4.760540	0.991512	0.991511	0x00FDD3B
4875	4.761517	0.991520	0.991520	0x00FDD44
4876	4.762494	0.991528	0.991529	0x00FDD4D
4877	4.763471	0.991536	0.991536	0x00FDD55
4878	4.764447	0.991545	0.991545	0x00FDD5E
4879	4.765424	0.991553	0.991552	0x00FDD66
4880	4.766401	0.991561	0.991561	0x00FDD6F
4881	4.767378	0.991569	0.991569	0x00FDD77
4882	4.768354	0.991577	0.991577	0x00FDD80
4883	4.769331	0.991585	0.991586	0x00FDD89
4884	4.770308	0.991593	0.991593	0x00FDD91
4885	4.771284	0.991602	0.991602	0x00FDD9A
4886	4.772261	0.991610	0.991610	0x00FDDA2
4887	4.773238	0.991618	0.991618	0x00FDDAB
4888	4.774215	0.991626	0.991626	0x00FDDB3
4889	4.775191	0.991634	0.991634	0x00FDDBC
4890	4.776168	0.991642	0.991642	0x00FDDC4
4891	4.777145	0.991650	0.991651	0x00FDDCD
4892	4.778121	0.991658	0.991658	0x00FDDD5
4893	4.779098	0.991666	0.991667	0x00FDDDE
4894	4.780075	0.991675	0.991674	0x00FDDE6
4895	4.781052	0.991683	0.991683	0x00FDDEF
4896	4.782028	0.991691	0.991691	0x00FDDF7
4897	4.783005	0.991699	0.991698	0x00FDDFF
4898	4.783982	0.991707	0.991707	0x00FDE08
4899	4.784958	0.991715	0.991714	0x00FDE10
4900	4.785935	0.991723	0.991723	0x00FDE19
4901	4.786912	0.991731	0.991731	0x00FDE21
